DAFTAR RISIKO,,,,,,,,,,,,,,,,,,,,
RUMAH SAKIT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
No,Kegiatan,Tujuan Kegiatan,Kode Risiko,Kategori Risiko,Ruang Lingkup,Pernyataan Risiko,Sebab,UC/C,Probality,Dampak,Pengendalian Yang Ada,,,Tingkat Risiko,Peringkat Risiko,Rencana Pengendalian,,Pemilik Risiko,PJ Tindak Lanjut,
142,Melakukan pengawasan persiapan alat operasi,Memastikan perawat OK menyiapkan alat yang akan dipakai untuk operasi sesuai jadwal,,Kepatuhan,Nakes lain,Karena kamar operasi sedang banyak tindakan operasi di waktu yang berdekatan Mungkin saja perawat OK tidak teliti dalam menghitung dan mempersiapkan jumlah alat yang akan dipakai operasi Sehingga jadwal operasi pasien dimundurkan,Perawat OK tidak teliti dalam menghitung dan mempersiapkan jumlah alat yang akan dipakai operasi,C,2,3,Dilakukan sosialisasi mengenai prosedur persiapan alat operasi,Ada,Efektif,6,SEDANG,Melakukan sosialisasi ulang dan monitoring berkala terkait prosedur persiapan alat operasi,Setiap bulan,Perawat OK,Koordinator OK,OK
143,Melakukan pengawasan alat instrumen steril,Memastikan bahwa alat yang akan dipakai untuk operasi dalam keadaan steril,,Operasional,Nakes lain,Karena alat operasi yang akan digunakan tidak steril Mungkin saja perawat OK tidak memasukan alat operasi untuk di steril oleh CSSD selesai operasi sebelumnya Sehingga alat operasi tidak bisa digunakan,Perawat OK tidak memasukan alat operasi untuk di steril oleh CSSD,C,2,2,Dilakukan sosialisasi mengenai prosedur persiapan alat operasi steril,Ada,Efektif,4,RENDAH,Melakukan sosialisasi ulang dan monitoring berkala terkait persiapan alat operasi steril,Setiap bulan,Perawat OK,Koordinator OK,OK
144,Melakukan pengawasan alat instrumen steril,Memastikan bahwa alat operasi dalam keadaan steril saat akan digunakan dan sesuai jadwal,,Kepatuhan,Nakes lain,Karena perawat OK tidak untuk memasukan alat operasi untuk di steril CSSD Mungkin saja perawat OK salah perkiraan mengenai back up alat operasi Sehingga operasi harus di reschedule menunggu alat steril,Perawat OK salah perkiraan mengenai back up alat operasi,C,2,2,Dilakukan sosialisasi mengenai prosedur persiapan alat operasi steril,Ada,Efektif,4,RENDAH,Melakukan sosialisasi ulang dan monitoring berkala terkait persiapan alat operasi steril,Setiap bulan,Perawat OK,Koordinator OK,OK
145,Melakukan pengawasan alat instrumen steril,Memastikan bahwa alat operasi dalam keadaan steril saat akan digunakan dan sesuai jadwal,,Reputasi,Pasien,Karena operasi harus di reschedule menunggu alat steril Mungkin perawat OK tidak untuk memasukan alat operasi untuk di steril CSSD Sehingga pasien komplain sudah puasa untuk persiapan operasi,Perawat OK tidak untuk memasukan alat operasi untuk di steril oleh CSSD,C,2,2,Dilakukan sosialisasi mengenai prosedur persiapan alat operasi steril,Ada,Efektif,4,RENDAH,Melakukan sosialisasi ulang dan monitoring berkala terkait persiapan alat operasi steril,Setiap bulan,Perawat OK,Koordinator OK,OK
146,Melakukan crosscheck identitas pasien (Sign In),Memastikan kecocokan identitas pasien sesuai dengan rencana operasi dari poli atau rawat inap,,Operasional,Nakes lain,Karena ditemukan ketidakcocokan identitas saat operasi berlangsung Mungkin saja perawat OK tidak meng-crosscheck identitas pasien saat sign in Sehingga DPJP melakukan operasi pada pasien yang salah,Perawat OK tidak meng-crosscheck identitas pasien saat sign in,C,2,4,Dilakukan sosialisasi mengenai identifikasi identitas pasien di kamar operasi,Ada,Efektif,8,SEDANG,Melakukan identifikasi ulang pasien di kamar operasi,Sebelum pasien dilakukan operasi,Perawat OK,Koordinator OK,OK
147,Melakukan crosscheck identitas pasien (Sign In),Memastikan kecocokan identitas pasien sesuai dengan rencana operasi dari poli atau rawat inap,,Legal,Staf Medis,Karena DPJP melakukan operasi pada pasien yang salah Mungkin saja Perawat OK tidak meng-crosscheck identitas pasien saat sign in Sehingga pasien melayangkan gugatan malpraktik,Perawat OK tidak meng-crosscheck identitas pasien saat sign in,C,1,5,Me-reminder DPJP untuk menjelaskan rencana tindakan kepada pasien,Ada,Efektif,5,SEDANG,Memastikan kesesuaian identitas pasien yang akan dioperasi,Sebelum pasien dilakukan operasi,DPJP,Ka Inst OK,OK
148,Melakukan edukasi dan persetujuan rencana operasi,Memastikan edukasi dan formulir persetujuan tindakan operasi sudah dilakukan oleh DPJP,,Kepatuhan,Staf Medis,Karena DPJP tidak melakukan edukasi pada pasien dan pasien tidak melakukan pengisian formulir persetujuan tindakan Mungkin saja ditemukan ketidakcocokan klinis ketika operasi Sehingga DPJP melakukan tindakan yang berbeda namun sesuai klinik pada pasien,DPJP tidak melakukan edukasi dan tidak melengkapi formulir persetujuan tindakan pada pasien,C,1,5,Me-reminder DPJP untuk memastikan identitas pasien sebelum operasi,Ada,Efektif,5,SEDANG,Melakukan identifikasi ulang pasien di kamar operasi,Sebelum pasien dilakukan operasi,DPJP,Koordinator OK,OK
149,Melakukan pengecekan rencana tindakan operasi,Memastikan assessment dan jenis tindakan yang akan dilakukan DPJP sesuai penjadwalan,,Legal,Staf Medis,Karena DPJP / operator melakukan tindakan operasi pada pasien Mungkin saja DPJP tidak menjelaskan rencana tindakan operasi yang akan dilakukan kepada pasien Sehingga pasien melayangkan gugatan malpraktik,DPJP tidak menjelaskan rencana tindakan operasi,C,1,5,Perawat memastikan DPJP menjelaskan rencana tindakan dan mendokumentasikannya dalam lembar edukasi dan lembar persetujuan tindakan,Ada,Efektif,5,SEDANG,Mengingatkan DPJP untuk menjelaskan tindakan kepada pasien dan dilakukan dokumentasi tertulis,Sebelum pasien dilakukan operasi,DPJP,Ka Inst OK,OK
150,Mempersiapkan operasi cito,Memastikan OK siap kapanpun ketika ada rencana operasi Cito,,Operasional,Nakes lain,Karena masih ada operasi yang sedang berlangsung Mungkin saja perawat OK kesulitan menyiapkan tim dan alat yang akan digunakan untuk operasi cito Sehingga operasi cito tidak bisa dilakukan segera dan dapat mengancam jiwa pasien,Perawat OK kesulitan menyiapkan tim dan alat yang akan digunakan untuk operasi cito,C,2,2,Memperbaiki alur operasi cito baik tim dan alat operasi,Ada,Efektif,4,RENDAH,Memperbaiki alur operasi cito baik tim dan alat operasi,Awal Tahun 2026,Perawat OK,Koordinator OK,OK
151,Meng-crosscheck kelengkapan laporan operasi,Memastikan DPJP / operator sudah membuat laporan operasi setelah operasi selesai,,Operasional,Staf Medis,Karena DPJP / operator langsung meninggalkan kamar OK setelah operasi Mungkin saja DPJP / operator tidak membuat laporan operasi setelah operasi selesai Sehingga pasien tidak mendapatkan terapi pasca operasi,DPJP / operator tidak membuat laporan operasi setelah operasi selesai,C,1,2,Mengingatkan DPJP untuk membuat laporan pasca operasi setelah selesai operasi,Ada,Efektif,2,SANGAT RENDAH,Mengingatkan DPJP untuk membuat laporan operasi pasca operasi,Setiap seetelah dilakukan operasi,DPJP,Ka Inst OK,OK
152,Meng-crosscheck kelengkapan laporan operasi,Memastikan DPJP / operator sudah membuat laporan operasi setelah operasi selesai,,Keuangan,Staf Medis,Karena DPJP / operator terburu-buru membuat laporan operasi Mungkin saja DPJP / operator membuat laporan operasi tidak lengkap Sehingga pengklaim-an asuransi terhambat,DPJP / operator membuat laporan operasi tidak lengkap,C,1,2,Mengingatkan DPJP untuk membuat laporan pasca operasi setelah selesai operasi,Ada,Efektif,2,SANGAT RENDAH,Mengingatkan DPJP untuk membuat laporan operasi pasca operasi,Setiap seetelah dilakukan operasi,DPJP,Ka Inst OK,OK
153,Meng-crosscheck kelengkapan laporan anestesi,Memastikan dokter anestesi sudah membuat laporan anestesi setelah operasi selesai,,Kepatuhan,Staf Medis,Karena dokter anestesi ada >1 operasi di hari yang sama Mungkin saja dokter anestesi lupa membuat laporan anestesi setelah operasi selesai Sehingga pasien tidak mendapatkan terapi untuk nyeri pasca operasi 1x24 jam,Dokter anestesi lupa membuat laporan anestesi setelah operasi selesai,C,1,2,Mengingatkan DPJP untuk membuat laporan pasca operasi setelah selesai operasi,Ada,Efektif,2,SANGAT RENDAH,Mengingatkan DPJP untuk membuat laporan operasi pasca operasi,Setiap setelah dilakukan operasi,DPJP,Ka Inst OK,OK
154,Melakukan pengecekan pemakaian instrumen / kasa / benda lain saat setelah operasi akan berakhir (Sign Out),Memastikan penghitungan jumlah pemakaian instrumen / kasa / benda lain pada saat operasi akan berakhir sesuai dengan yang digunakan saat operasi,,Operasional,Nakes lain,Karena ada kekurangan instrumen / kasa saat pengecheckan selesai operasi Mungkin saja perawat OK tidak melakukan penghitungan jumlah pemakaian instrumen / kasa saat sebelum operasi berakhir Sehingga ada risiko instrumen / kasa tersebut tertinggal di dalam tubuh pasien,Perawat OK tidak melakukan penghitungan jumlah pemakaian instrumen / kasa saat sebelum operasi berakhir,C,1,5,Menunjuk perawat OK yang bertanggung jawab terhadap penggunaan kassa selama oeprasi dan melakukan penghitungan kassa yang digunakan selama operasi secara detail,Ada,Efektif,5,SEDANG,Menunjuk perawat OK yang bertanggung jawab terhadap penggunaan kassa selama oeprasi dan melakukan penghitungan kassa yang digunakan selama operasi secara detail,Setiap dilakukan operasi,Perawat OK,Koordinator OK,OK
155,Melakukan pengecekan kelengkapan pengisian surgical safety ceklist,Perawat OK memastikan surgical safety lengkap dan melakukan pengisian ceklistnya,,Operasional,Nakes lain,Karena perawat kehabisan kertas surgical safety checklist Mungkin saja perawat tidak melakukan pengisian surgical safety checklist Sehingga tidak diketahui instrumen yang digunakan dan berisiko ada alat-alat yang tertinggal di dalam tubuh pasien,Perawat tidak melakukan pengisian surgical safety checklist,C,2,3,Melakukan pengisian surgical safety checklist setiap operasi,Ada,Efektif,6,SEDANG,Melakukan mointoring dan evaluasi berkala terkait pengisian surgical safety checklist setiap operasi,Setiap bulan,Perawat OK,Koordinator OK,OK
156,Men-check jumlah fisik obat dengan penginputan obat ke farmasi,Memastikan kesesuaian jumlah dan jenis obat yang ada di OK dengan pengeinputan obat ke farmasi,,Operasional,Fasilitas,Karena tidak memiliki stok obat di OK Mungkin saja perawat OK tidak men-check kesesuaian jumlah obat dan penginputan obat ke farmasi Sehingga pasien tertunda mendapatkan obat,Perawat OK tidak men-check kesesuaian jumlah obat dan pnginputan obat ke farmasi,C,2,2,Perawat OK memastikan kesesuaian jumlah dan jenis obat yang ada di OK dengan pengeinputan obat ke farmasi,Ada,Efektif,4,RENDAH,Perawat OK memastikan kesesuaian jumlah dan jenis obat yang ada di OK dengan pengeinputan obat ke farmasi,Setiap dilakukan operasi,Perawat OK,Koordinator OK,OK
157,Men-check kelengkapan informed consent pasien operasi,Perawat OK memastikan berkas informed consent lengkap sebelum dilakukan operasi,,Operasional,Staf Medis,Karena berkas informed conset tidak ditemukan saat pasien kembali ke rawat inap Mungkin saja perawat OK tidak men-check berkas informed consent pasien sebelum operasi Sehingga berkas tidak lengkap saat dikembalikan ke rekam medis,Perawat OK tidak men-check berkas informed consent pasien sebelum operasi,C,2,2,Melakukan check ulang berkas saat akan dikembalikan ke rekam medis,Ada,Efektif,4,RENDAH,Melakukan check ulang berkas saat akan dikembalikan ke rekam medis,Setiap dilakukan operasi,Pasien,Koordinator OK,OK
158,Men-chek jadwal on call perawat OK,Memastikan jadwal on call perawat OK sudah sesuai,,Operasional,Nakes lain,Karena perawat OK tidak stand by saat dihubungi untuk operasi cito hari minggu Mungkin saja perawat OK bertukar jaga on call dan tidak mengabari kepala ruang OK Sehingga perawat jaga OK salah menghubungi perawat OK on call,Perawat OK bertukar jaga on call dan tidak mengabari kepala ruang OK,C,1,1,Memastikan kembali jadwal on call sudah sesuai,Ada,Efektif,1,SANGAT RENDAH,Memastikan kembali jadwal on call sudah sesuai,Setiap dilakukan operasi,Perawat OK,Koordinator OK,OK
159,Men-check pemakaian alat kesehatan paket SC,Memastikan alat kesehatan yang dipakain sesuai dengan ketentuan paket,,Keuangan,Nakes lain,Karena setelah tindakan operasi SC ada alat kesehatan yang dipakai bukan dari yang disiapkan Mungkin saja perawat OK tidak men-check alat kesehatan yang seharusnya dipakai bila menggunakan paket SC Sehingga pasien harus membayar lebih diluar paket,Perawat tidak men-check alat kesehatan yang seharusnya dipakai bila menggunakan paket SC S,C,1,1,Memastikan alat kesehatan yang dipakai sudah sesuai dengan ketentuan paket,Ada,Efektif,1,SANGAT RENDAH,Memastikan alat kesehatan yang dipakai sudah sesuai dengan ketentuan paket,Setiap dilakukan operasi,Perawat OK,Koordinator OK,OK
160,Men-check kesiapan dan fungsi alat cauter electro surgical,Memastikan alat cauter electro surgical berfungsi dengan baik,,Operasional,Fasilitas,Karena tiba-tiba alat cauter electro surgical mati Mungkin saja perawat OK tidak men-check fungsi alat causer electro surgical Sehingga perdarahan saat operasi ditangani lebih lama,Terjadi malfungsi alat elektrokoagulasi,C,2,2,Melakukan maintenance secara berkala,Ada,Efektif,4,RENDAH,Melakukan maintenance secara berkala,Setiap bulan,Perawat OK,Koordinator OK,OK
161,Men-check kesiapan dan fungsi meja operasi,Memastikan meja operasi berfungsi dengan baik saat akan digunakan operasi,,Operasional,Fasilitas,Karena tiba-tiba meja operasi tidak bisa diatur tinggi rendahnya Mungkin saja perawat OK tidak men-check fungsi meja operasi Sehingga menghambat proses pengerjaan operasi dan risiko cedera karena tidak ergonomis,Perawat OK tidak men-check fungsi meja operasi,C,1,1,Melakukan maintenance secara berkala,Ada,Efektif,1,SANGAT RENDAH,Melakukan maintenance secara berkala,Setiap bulan,Perawat OK,Koordinator OK,OK
162,Men-check kesiapan dan fungsi lampu emergensi,Memastikan lampu emergensi berfungsi dengan baik saat akan digunakan operasi,,Operasional,Fasilitas,Karena tiba-tiba lampu emergensi tidak menyala Mungkin saja perawat OK tidak men-check baterai lampu emergensi Sehingga lampu emergensi tidak bisa digunakan untuk memberikan cahaya saat dibutuhkan,Perawat OK tidak men-check baterai lampu emergensi,C,2,2,Melakukan maintenance secara berkala,Ada,Efektif,4,RENDAH,Melakukan maintenance secara berkala,Setiap bulan,Perawat OK,Koordinator OK,OK
163,Penjadwalan jenis operasi,"Memastikan persiapan obat, alkes dan tim sesuai dengan tindakan operasi",,Operasional,Nakes lain,"Karena penjadwalan jenis operasi kurang tepat (salah)mungkin saja persiapan obat, alkesm tim tidak sesuai sehingga menyebabkan kesalahan tindakan operasi",Salah menjadwalkan jenis operasi (seharusnya kanan dilaporkan kiri),C,1,1,"Memastikan persiapan obat, alkes dan tim sesuai dengan tindakan operasi",Ada,Efektif,1,SANGAT RENDAH,"Memastikan persiapan obat, alkes dan tim sesuai dengan tindakan operasi",Setiap dilakukan operasi,Perawat OK,Koordinator OK,OK
164,Penginputan obat dan alkes tindakan operasi,Memastikan pemakaian obat dan alkes pasien operasi segera terinput,,Kebijakan,Bisnis RS,Karena tidak segera melakukan penginputan obat dan alkes pasien operasi mungkin saja ada yang tidak terinput (lupa) sehingga menyebabkan pasien tidak terbayar oleh pasien,Tidak melakukan input obat dan pasien segera setelah operasi,C,1,1,Memastikan pemakaian obat dan alkes pasien operasi segera terinput,Ada,Efektif,1,SANGAT RENDAH,Memastikan pemakaian obat dan alkes pasien operasi segera terinput,Setiap dilakukan operasi,Perawat OK,Koordinator OK,OK
165,Penempatan tenaga sesuai kompetensi,meningkatkan mutu asuhan,,Operasional,Nakes lain,Karena keterbatasan tenaga yang sudah pelatihan mungkin saja perawat kurang kompeten sehingga mutu asuhan tidak tercapai,Keterbatan tenaga yang sudah pelatihan,C,5,5,Membuat data perawat yang sudah mengikuiti pelatijhan,Ada,Efektif,25,SANGAT TINGGI,Mengupdate jika perawat dan bidan mendapatkan pelatihan tambahan,setiap bulan,Perawat dan bidan,Manajer keperawatan,Keperawatan
166,Kepatuhan perawat menjalankan prosedur,Menghindari terjadinya kesalahan prosedur,,Kebijakan,Nakes lain,Karena kurangnya kesadaran dan review SPO mungkin saja terjadi kesalahan dalam pemberian asuhan sehingga pasien mengalami cedera,Kurangnya kesadaran dan review SPO,C,2,2,Sosilaisiasi SPO secara berkala,Ada,Efektif,4,RENDAH,3x pertahun,3x pertahun,Perawat dan bidan,Manajer keperawatan,Keperawatan
167,ketidak tepatan posisi saat tindakan,Mencegah terjadinya cidera pada staf,,Operasional,Nakes lain,karena kurang mengetahui posisi yang benar saat tindakan mungkin saja terjadi cidera sehingga perawat mengalami nyeri pinggang,Kurang mengetahui posisi yang benar,C,3,2,Koordinasi dengan K3 RS untuk sosilalisasi sakit akibat kerja,Ada,Efektif,6,SEDANG,Koordinasi dengan K3,2x / Tahun,Perawat dan bidan,Manajer GA,Keperawatan
168,Kontroling staf,meningkatkan mutu staf keperawatan,,Strategis,Nakes lain,Karena tingginya tugas administrasi non kepala ruang mungkin saja bekerja tidak sesuai prosedur sehingga kualitas pelayanan menurun,Tingginya administrasi tugas non kepala ruangan,C,4,2,Data tindakan non keperawatan,Ada,Efektif,8,SEDANG,Supervisi asuhan dan tindakan,3x/Tahun,Perawat dan bidan,Manajer keperawatan,Keperawatan
169,Perbandingan perawat dengan pasien,Optimalisasi pelayanan keperawatan,,Kebijakan,Nakes lain,Karena efisiensi SDM Keperawatan mungkin saja perbandingan SDM dengan pasien tidak seimbang sehingga menurunnya mutu asuhan keperawatan,Efisiensi SDM Keperawatan,C,5,5,Optimalkan tenaga dengan mengoptimalkan tenaga yang pasiennya kurang,Ada,Efektif,25,SANGAT TINGGI,Analisa beban kerja,Setiap saat mapping tenaga perawat dan bidan,Perawat dan bidan,Manajer keperawatan,Keperawatan
170,"Kecelakaan kerja (tertusuk jarum/terkena ampul obat, jatuh dll)",Meningkatkan keselamatan kerja dengan memperbaiki lingkungan kerja dan pelatihan keselamatan bagi perawat.,,Kepatuhan,Nakes lain,Karena kurangnya kesadaran dan review SPO mungkin saja terjadi kecelakakaankerja sehingga perawat/bidan mengalami cedera (tertusuk/tergores),Kurangnya kesadaran dan review SPO,C,3,2,Sosilaisiasi SPO secara berkala,Ada,Efektif,6,SEDANG,Koordinasi dengan PPI,2x/Tahun,Perawat dan bidan,PPI,Keperawatan
171,Burnout pada perawat,Kesejahteraan staf,,Kebijakan,Nakes lain,Karena beban kerja berlebih mungkin saja perawat mengalami kualitas penurunan kinerja sehingga terjadi penurunan produkstivitas dan penurunan mutu asuhan keperawatan,Beban kerja berlebih,C,4,4,Pertemuan secara berkalau untuk menyampaikan masalah yang di hadapi,Ada,Efektif,16,SANGAT TINGGI,Mapping tindakan keperawatan dan non keperawatan,Sesuai kebutuhan,Perawat dan bidan,Manajer keperawatan,Keperawatan
172,Komunikasi yang tidak efektif antar tim,"Dapat meningkatkan kualitas hubungan, memperkuat kerja tim, sehingga tercapai Keselamatan Pasien",,Kepatuhan,Nakes lain,Karena kurangnya koordinasi dan komunikasi antara perawat dan dokter mungkin saja terjadi kesalahan dalam perawatan dan kesalahan diagnosis sehingga megakibatkan kesalahan dalam perawatan dan pengobatan,Kurangnya koordinasi dan komunikasi,C,3,3,Sosilaisiasi SPO secara berkala,Ada,Efektif,9,SEDANG,Internal training,3x/Tahun,Perawat dan bidan,Manajer keperawatan,Keperawatan
173,Kepemilikikan STR/SIB,Membantu otoritas kesehatan dalam pengawasan STR memungkinkan otoritas kesehatan untuk memantau praktik medis yang dilakukan oleh perawat,,Legal,Nakes lain,Karena terlambat mengurus perpanjangan STR/SIB mungkin saja Nakes tersebut tidak memiliki legalitas sehingga perawat dan bidan tidak dapat memberikan asuhan keperawatan baik langsung dan tidak langsung,Terlambat mengurus perpanjangan STR/SIB,C,2,2,Membuat data perawat yang STR/SIP/STRB nya akan habis,Ada,Efektif,4,RENDAH,evaluasi data kepengurusan perawat yang hampir habis,Sesuai kebutuhan,Perawat dan bidan,Komite keperawatan,Keperawatan
174,Pembuangan sampah sesuai kategori,Untuk mencegah pencemaran lingkungan dan melindungi petugas lain dari infeksi dan cidera,,Kepatuhan,Lingkungan,"Karena membuang sampah medis tidak sesuai kategori mungkin saja tenaga kerja lain /unit lain terpapar sampah medis sehingga mengakitkan cidera , sakit atau infeksi",Membuang sampah medis tidak sesuai kategori,C,2,2,Sosilaisiasi SPO secara berkala,Ada,Efektif,4,RENDAH,Audit kepatuhan,sesuai kebutuhan,Perawat dan bidan,Manajer keperawatan,Keperawatan
175,Kepatuhan 5 Moment cuci tangan,"Meminimalisir risiko penularan mikroorganisme diantara pasien, petugas kesehatan dan lingkungan",,Kepatuhan,Lingkungan,Karena tidak patuh mencuci tangan dalam 5 moment mungkin saja terjadi penularan penyakit pada tenaga kesehatan lain dan pasien sehingga mengakibtkan hari rawat menjadi memanjang,Tidak patuh mencuci tangan 5 moment,C,2,2,Sosilaisiasi SPO secara berkala,Ada,Efektif,4,RENDAH,Audit kepatuhan,Sesuai kebutuhan,Perawat dan bidan,Manajer keperawatan,Keperawatan
176,Penggunaan APD sesuai indikasi,"Meminimalisir risiko penularan mikroorganisme diantara pasien, petugas kesehatan dan lingkungan",,Kepatuhan,Lingkungan,Karena tidak patuh menggunakan APD sesuai dengan indikasi mungkin saja terjadi penularan antar petugas kesehatan dan lingkungan sehingga mengakibatkan tenaga kesehatan terpapar dengan penyakit pasien,Tidak patuh menggunakan APD sesuai indikasi,C,2,2,Sosilaisiasi SPO secara berkala,Ada,Efektif,4,RENDAH,pengenalan alat dan opesi alat kepada semua perawat dan bidan baru,Sesuai kebutuhan,Perawat dan bidan,Manajer keperawatan,Keperawatan
177,Penggunaan alat medis,Meminimalisir risiko kesalahan dalam melakukan tindakan yang menggunakan alat -alat medis,,Operasional,Nakes lain,"Karena tidak menguasai atau mengetahui pemakaian alat medis (infuspum, syring pum, ventilator, alat HD, NBL, dll) mungkin saja alat yang di gunakan tidak optimal cara kerjanya sehingga mengakibatkan alat tersebut tidak berfungsi dengan baik",tidak menguasai atau mengetahui pemakaian alat medis yang di gunakan pasien,C,3,3,Sosilaisiasi SPO secara berkala,Ada,Efektif,9,SEDANG,Pelatihan perawat dan bidan baru,Sesuai kebutuhan,Perawat dan bidan,Manajer keperawatan,Keperawatan
178,Peningkatan pengetahuan tentang obat di Rumah Sakit AZRA,Meminimalisir risiko kesalahan dalam melakukan tindakan yang menggunakan alat -alat medis,,Kepatuhan,Nakes lain,karena kurang mengetahui obat - obatan yang diberikan kepada pasien mungkin saja jika perawat/bidan ditanya oleh pasien fungsi dan guna obat tidak mengetahui sehingga mengakitkan pasien komplain dengan pelayanan yang diberikan,Kurang mengetahui obat-obatan pasien,C,4,4,Sosilaisiasi SPO secara berkala,Ada,Efektif,16,SANGAT TINGGI,supervisi asuhan dan tindakan,Setiap GKM bulanan,Perawat dan bidan,Manajer keperawatan,Keperawatan
179,Merawat pasien kelolaan,Meningkatkan mutu Asuhan keperawatan,,Strategis,Nakes lain,Karena kurang kontrol perawat pengelola mungkin saja terjadi penurunan kondisi pasien yang tidak diketahui oleh perawat sehingga mengakibatkan penurunan mutu pelayanan pasien,Kurang kontrol perawat pelola,C,2,2,Sosilaisiasi SPO secara berkala,Ada,Efektif,4,RENDAH,GKM unit,Setiap GKM bulanan,Perawat dan bidan,Manajer keperawatan,Keperawatan
180,Penginputan pemakaian obat/alkes/implan yang di gunakan pasien,alkes /obat yang di gunakan pasien dapat terinput dan terbilling ke pemakaian pasien,,Keuangan,Bisnis RS,Karena tidak terinputnya alkes/obat/implan yang di gunakan pasien mungkin saja pemakaian tidak terbilling sehingga mengakibatkan berkurangnya pendapatan Rumah Sakit,Tidak terinputnya alkes /obat/implan yang di gunakan oleh pasien,C,3,2,Sosilaisiasi SPO secara berkala,Ada,Efektif,6,SEDANG,Audit kepatuhan,Setiap GKM bulanan,Perawat dan bidan,Manajer keperawatan,Keperawatan
181,Pendokumentasian rekam medis pasien,sebagai bentuk komunikasi non verbal dan melindungi perawat dari keadaan yang memerlukan penanganan hukum,,Legal,Nakes lain,Karena tidak lengkap dokumentasi pasien di dalam rekam medis mungkin saja tidak sesuai penatalaksanaan yang diberikan sehingga lama rawat pasien menjadi memanjang,Tidak lengkap dokumentasi pada rekam medis pasien,C,3,3,Sosilaisiasi SPO secara berkala,Ada,Efektif,9,SEDANG,Audit kepatuhan,Setiap GKM bulanan,Perawat dan bidan,Manajer keperawatan,Keperawatan
182,Pendokumentasian rekam medis pasien,sebagai bentuk komunikasi non verbal dan melindungi perawat dari keadaan yang memerlukan penanganan hukum,,Fraud,Bisnis RS,Karena tidak lengkap dokumentasi pasien di dalam rekam medis mungkin saja tidak sesuai penatalaksanaan yang diberikan sehingga pasien keberatan biaya,Tidak lengkap dokumentasi pada rekam medis pasien,C,3,3,Sosilaisiasi SPO secara berkala,Ada,Efektif,9,SEDANG,GKM unit,Setiap GKM bulanan,Perawat dan bidan,Manajer keperawatan,Keperawatan
183,Memberikan pelayanan asuhan keperawatan,Memberikan servis excellent,,Reputasi,Pasien,Karena pelayanan keperawatan yang kurang optimal mungkin saja pasien menjadi tidak puas sehingga mengakiibatkan pasien komplain secara langsung/ke sosial media,Pelayanan keperawatan kurang optimal,C,2,2,Pelatihan servise excellent secara bertahap dan kepada seluruh perawat baru,Ada,Efektif,4,RENDAH,Koordinasi dengan K3,Setiap perawat dan bidan baru,Perawat dan bidan,Manajer GA,Keperawatan
184,Membuka pintu,masuk / keluar melaui pintu,,Operasional,Lingkungan,Karena pintunya di dorong mungkin saja orang yang berada di belakangnya terdorong pintu sehingga mengakibatkan jatuh/ cidera,Pintu dorong /tarik,C,2,2,Sosilaisiasi SPO secara berkala,Ada,Efektif,4,RENDAH,Koordinasi dengan IPSRS,,Perawat dan bidan,Manajer GA,Keperawatan
185,Pengecekan peralatan listrik,Mencegah terjadinya kebakaran,,Operasional,Fasilitas,Karena terminal listrik di dekat bed pasien sudah goyang mungkin saja terjadi konslet sehingga menyebabkan kesetrum,Terminal listrik goyang,C,2,2,Pengecekan secara berkala,Ada,Efektif,4,RENDAH,Koordinasi dengan IPSRS,Sesuai kondisi,Perawat dan bidan,Manajer GA,Keperawatan
186,Pengecekan kursi kerja,menghindari terjadinya salah posisi,,Operasional,Fasilitas,Karena kursi kerja tidak sesuai ergonomi mungkin saja kursi kerjanyan goyang sehingga menyebabkan jatuh,kursi kerja goyang,C,3,3,Mendata kursi yang rusak dan tidak sesuai ergonomis,Ada,Efektif,9,SEDANG,Koordinasi dengan IPSRS,Sesuai kondisi,Perawat dan bidan,Manajer GA,Keperawatan
187,Pengecekan ruangan,Menghindari terjadinya cidera,,Operasional,Fasilitas,Karena ruang kerja terdapat jendela kaca mungkin saja bila hujan petir sehingga mengakibatkan terjadinya petir,Kesambar petir,C,2,2,koordinasi dengan IPSRS bila terjadi hujan,Ada,Efektif,4,RENDAH,Koordinasi dengan IPSRS,Sesuai kondisi,Perawat dan bidan,Manajer GA,Keperawatan
188,Pengecekan tangga,menghindari jatuh,,Operasional,Lingkungan,Karena tanda risiko jatuh sudah usang mungkin saja pejalan kaki tidak melihat sehingga mengakibatkan jatuh,tanda risiko jatuh sudah usang,C,3,2,koordinasi dengan IPSRS bila tanda risiko jatuh sudah pudar,Ada,Efektif,6,SEDANG,Koordinasi dengan IPSRS,Sesuai kondisi,Perawat dan bidan,Manajer GA,Keperawatan
189,Pengecekan funitur / lemari,Menghindari tertimpa lemari,,Operasional,Fasilitas,Karena posisi lemari/rak buku /tempat alkes di gantung mungkin saja gantungannya lepas sehingga mengakibatkan tertimpa lemari/tempat alkes,Posisi lemari/rak buku.tempat alkes di gantung,C,3,3,koordinasi dengan IPSRS bila tanda tanda lemaru rusak/engselnya lepas,Ada,Efektif,9,SEDANG,Koordinasi dengan IPSRS,Sesuai kondisi,Perawat dan bidan,Manajer GA,Keperawatan
